record_type,age_category,gender,weight_class,snatch_record,cj_record,total_record
USAW,u13,men,32kg,39,49,87
USAW,u13,men,36kg,45,60,103
USAW,u13,men,39kg,56,70,125
USAW,u13,men,44kg,58,80,138
USAW,u13,men,49kg,60,76,133
USAW,u13,men,55kg,75,100,175
USAW,u13,men,61kg,91,118,209
USAW,u13,men,67kg,105,131,235
USAW,u13,men,73kg,89,112,200
USAW,u13,men,+73kg,92,118,210
USAW,u13,women,30kg,32,40,72
USAW,u13,women,33kg,35,45,80
USAW,u13,women,36kg,41,53,93
USAW,u13,women,40kg,46,58,103
USAW,u13,women,45kg,56,72,128
USAW,u13,women,49kg,65,79,144
USAW,u13,women,55kg,62,77,139
USAW,u13,women,59kg,64,81,144
USAW,u13,women,64kg,71,88,160
USAW,u13,women,+64kg,80,96,175
USAW,u15,men,39kg,47,60,115
USAW,u15,men,44kg,64,81,147
USAW,u15,men,49kg,76,98,169
USAW,u15,men,55kg,95,117,212
USAW,u15,men,61kg,109,146,255
USAW,u15,men,67kg,117,153,263
USAW,u15,men,73kg,134,175,306
USAW,u15,men,81kg,134,171,303
USAW,u15,men,89kg,135,168,298
USAW,u15,men,+89kg,137,170,303
USAW,u15,women,36kg,37,53,88
USAW,u15,women,40kg,46,56,102
USAW,u15,women,45kg,60,75,134
USAW,u15,women,49kg,68,88,154
USAW,u15,women,55kg,73,90,159
USAW,u15,women,59kg,74,97,169
USAW,u15,women,64kg,82,100,180
USAW,u15,women,71kg,84,106,190
USAW,u15,women,76kg,83,105,187
USAW,u15,women,76kg,92,115,203
USAW,u17,men,49kg,77,103,208
USAW,u17,men,55kg,102,124,224
USAW,u17,men,61kg,120,156,276
USAW,u17,men,67kg,129,165,289
USAW,u17,men,73kg,141,185,322
USAW,u17,men,81kg,155,193,348
USAW,u17,men,89kg,149,186,329
USAW,u17,men,96kg,151,190,339
USAW,u17,men,102kg,159,191,350
USAW,u17,men,+102kg,142,182,314
USAW,u17,women,40kg,45,58,99
USAW,u17,women,45kg,61,78,132
USAW,u17,women,49kg,72,92,163
USAW,u17,women,55kg,89,109,198
USAW,u17,women,59kg,85,106,186
USAW,u17,women,64kg,87,108,196
USAW,u17,women,71kg,94,121,215
USAW,u17,women,76kg,105,122,227
USAW,u17,women,81kg,93,116,205
USAW,u17,women,81kg,102,125,226
USAW,collegiate,men,55kg,103,130,233
USAW,collegiate,men,61kg,113,141,252
USAW,collegiate,men,67kg,128,164,288
USAW,collegiate,men,73kg,140,182,320
USAW,collegiate,men,81kg,150,184,330
USAW,collegiate,men,89kg,159,197,352
USAW,collegiate,men,96kg,165,211,372
USAW,collegiate,men,102kg,162,201,358
USAW,collegiate,men,109kg,163,206,365
USAW,collegiate,men,+109kg,167.5,211,373
USAW,collegiate,women,45kg,76,87,167
USAW,collegiate,women,49kg,81,107,188
USAW,collegiate,women,55kg,83,108,191
USAW,collegiate,women,59kg,90,109,198
USAW,collegiate,women,64kg,95,119,214
USAW,collegiate,women,71kg,103,132,235
USAW,collegiate,women,76kg,106,133,239
USAW,collegiate,women,81kg,101,132,234
USAW,collegiate,women,87kg,102,133,234
USAW,collegiate,women,+87kg,120,156,276
USAW,junior,men,55kg,110,134,242
USAW,junior,men,61kg,127,176,303
USAW,junior,men,67kg,139,178,312
USAW,junior,men,73kg,154,193,347
USAW,junior,men,81kg,160,200,357
USAW,junior,men,89kg,161,201,355
USAW,junior,men,96kg,163,202,363
USAW,junior,men,102kg,172,206,378
USAW,junior,men,109kg,173,207,379
USAW,junior,men,+109kg,165.5,204,365
USAW,junior,women,45kg,70,88,150
USAW,junior,women,49kg,81,102,178
USAW,junior,women,55kg,89,112,198
USAW,junior,women,59kg,97,117,211
USAW,junior,women,64kg,101,125,225
USAW,junior,women,71kg,115,147,262
