record_type,age_category,gender,weight_class,snatch_record,cj_record,total_record
USAW New BW,Masters 35,men,60kg,99,123,224
USAW New BW,Masters 35,men,65kg,104,134,239
USAW New BW,Masters 35,men,71kg,140,170,313
USAW New BW,Masters 35,men,79kg,131,165,290
USAW New BW,Masters 35,men,88kg,141,178,321
USAW New BW,Masters 35,men,94kg,156,190,350
USAW New BW,Masters 35,men,110kg,151,184,332
USAW New BW,Masters 35,men,110+kg,152,185,333
USAW New BW,Masters 35,women,48kg,73,94,166
USAW New BW,Masters 35,women,53kg,82,106,191
USAW New BW,Masters 35,women,58kg,85,112,195
USAW New BW,Masters 35,women,63kg,86,112,199
USAW New BW,Masters 35,women,69kg,90,112,200
USAW New BW,Masters 35,women,77kg,92,117,205
USAW New BW,Masters 35,women,86kg,92,115,202
USAW New BW,Masters 35,women,86+kg,94,117,204
USAW New BW,Masters 40,men,60kg,93,120,215
USAW New BW,Masters 40,men,65kg,106,123,232
USAW New BW,Masters 40,men,71kg,117,144,263
USAW New BW,Masters 40,men,79kg,123,153,277
USAW New BW,Masters 40,men,88kg,127,156,278
USAW New BW,Masters 40,men,94kg,148,187,339
USAW New BW,Masters 40,men,110kg,139,171,299
USAW New BW,Masters 40,men,110+kg,140,172,300
USAW New BW,Masters 40,women,48kg,71,93,166
USAW New BW,Masters 40,women,53kg,70,92,165
USAW New BW,Masters 40,women,58kg,81,105,188
USAW New BW,Masters 40,women,63kg,82,109,192
USAW New BW,Masters 40,women,69kg,80,105,187
USAW New BW,Masters 40,women,77kg,83,107,187
USAW New BW,Masters 40,women,86kg,89,106,196
USAW New BW,Masters 40,women,86+kg,88,108,204
USAW New BW,Masters 45,men,60kg,81,108,191
USAW New BW,Masters 45,men,65kg,89,113,203
USAW New BW,Masters 45,men,71kg,103,124,230
USAW New BW,Masters 45,men,79kg,122,145,262
USAW New BW,Masters 45,men,88kg,118,150,270
USAW New BW,Masters 45,men,94kg,126,156,286
USAW New BW,Masters 45,men,110kg,127,158,285
USAW New BW,Masters 45,men,110+kg,125,152,270
USAW New BW,Masters 45,women,48kg,60,72,129
USAW New BW,Masters 45,women,53kg,60,75,135
USAW New BW,Masters 45,women,58kg,67,84,152
USAW New BW,Masters 45,women,63kg,73,89,163
USAW New BW,Masters 45,women,69kg,76,92,171
USAW New BW,Masters 45,women,77kg,84,109,193
USAW New BW,Masters 45,women,86kg,75,95,167
USAW New BW,Masters 45,women,86+kg,70,94,164
USAW New BW,Masters 50,men,60kg,86,105,193
USAW New BW,Masters 50,men,65kg,92,112,206
USAW New BW,Masters 50,men,71kg,94,118,212
USAW New BW,Masters 50,men,79kg,103,129,234
USAW New BW,Masters 50,men,88kg,114,135,251
USAW New BW,Masters 50,men,94kg,117,144,263
USAW New BW,Masters 50,men,110kg,120,146,266
USAW New BW,Masters 50,men,110+kg,114,145,249
USAW New BW,Masters 50,women,48kg,48,59,109
USAW New BW,Masters 50,women,53kg,60,71,134
USAW New BW,Masters 50,women,58kg,60,77,137
USAW New BW,Masters 50,women,63kg,67,84,153
USAW New BW,Masters 50,women,69kg,65,85,150
USAW New BW,Masters 50,women,77kg,70,85,155
USAW New BW,Masters 50,women,86kg,68,80,149
USAW New BW,Masters 50,women,86+kg,67,82,158
USAW New BW,Masters 55,men,60kg,91,113,206
USAW New BW,Masters 55,men,65kg,90,112,205
USAW New BW,Masters 55,men,71kg,87,111,200
USAW New BW,Masters 55,men,79kg,97,112,209
USAW New BW,Masters 55,men,88kg,108,129,236
USAW New BW,Masters 55,men,94kg,104,126,232
USAW New BW,Masters 55,men,110kg,106,132,234
USAW New BW,Masters 55,men,110+kg,107,142,248
USAW New BW,Masters 55,women,48kg,41,52,94
USAW New BW,Masters 55,women,53kg,58,69,128
USAW New BW,Masters 55,women,58kg,51,65,113
USAW New BW,Masters 55,women,63kg,61,75,138
USAW New BW,Masters 55,women,69kg,59,74,135
USAW New BW,Masters 55,women,77kg,61,74,131
USAW New BW,Masters 55,women,86kg,56,73,131
USAW New BW,Masters 55,women,86+kg,63,83,133
USAW New BW,Masters 60,men,60kg,68,88,156
USAW New BW,Masters 60,men,65kg,73,86,159
USAW New BW,Masters 60,men,71kg,78,103,184
USAW New BW,Masters 60,men,79kg,98,113,214
USAW New BW,Masters 60,men,88kg,89,110,199
USAW New BW,Masters 60,men,94kg,101,123,228
USAW New BW,Masters 60,men,110kg,98,125,213
USAW New BW,Masters 60,men,110+kg,105,130,214
USAW New BW,Masters 60,women,48kg,43,54,97
USAW New BW,Masters 60,women,53kg,42,57,102
USAW New BW,Masters 60,women,58kg,51,60,113
USAW New BW,Masters 60,women,63kg,52,65,118
USAW New BW,Masters 60,women,69kg,49,63,115
USAW New BW,Masters 60,women,77kg,51,66,117
USAW New BW,Masters 60,women,86kg,49,64,114
USAW New BW,Masters 60,women,86+kg,53,64,116
USAW New BW,Masters 65,men,60kg,61,74,137
USAW New BW,Masters 65,men,65kg,62,77,140
USAW New BW,Masters 65,men,71kg,62,81,142
USAW New BW,Masters 65,men,79kg,72,93,168
USAW New BW,Masters 65,men,88kg,74,90,165
USAW New BW,Masters 65,men,94kg,75,97,174
USAW New BW,Masters 65,men,110kg,75,90,165
USAW New BW,Masters 65,men,110+kg,73,94,166
USAW New BW,Masters 65,women,48kg,30,43,75
USAW New BW,Masters 65,women,53kg,32,46,81
USAW New BW,Masters 65,women,58kg,35,48,85
USAW New BW,Masters 65,women,63kg,50,63,115
USAW New BW,Masters 65,women,69kg,44,63,110
USAW New BW,Masters 65,women,77kg,44,59,103
USAW New BW,Masters 65,women,86kg,34,44,77
USAW New BW,Masters 65,women,86+kg,46,65,112
USAW New BW,Masters 70,men,60kg,50,74,125
USAW New BW,Masters 70,men,65kg,58,81,140
USAW New BW,Masters 70,men,71kg,64,83,150
USAW New BW,Masters 70,men,79kg,67,97,167
USAW New BW,Masters 70,men,88kg,67,84,153
USAW New BW,Masters 70,men,94kg,64,92,160
USAW New BW,Masters 70,men,110kg,56,71,127
USAW New BW,Masters 70,men,110+kg,63,73,136
USAW New BW,Masters 70,women,48kg,26,35,63
USAW New BW,Masters 70,women,53kg,26,36,65
USAW New BW,Masters 70,women,58kg,35,45,82
USAW New BW,Masters 70,women,63kg,38,48,88
USAW New BW,Masters 70,women,69kg,44,55,102
USAW New BW,Masters 70,women,77kg,30,38,66
USAW New BW,Masters 70,women,86kg,28,35,64
USAW New BW,Masters 70,women,86+kg,23,26,50
USAW New BW,Masters 75,men,60kg,45,58,104
USAW New BW,Masters 75,men,65kg,52,77,132
USAW New BW,Masters 75,men,71kg,55,74,132
USAW New BW,Masters 75,men,79kg,57,71,131
USAW New BW,Masters 75,men,88kg,59,76,137
USAW New BW,Masters 75,men,94kg,56,71,129
USAW New BW,Masters 75,men,110kg,45,53,96
USAW New BW,Masters 75,men,110+kg,51,54,97
USAW New BW,Masters 75,women,58kg,23,33,58
USAW New BW,Masters 75,women,63kg,28,40,70
USAW New BW,Masters 75,women,69kg,16,23,42
USAW New BW,Masters 75,women,86+kg,24,30,43
USAW New BW,Masters 80,men,60kg,30,36,68
USAW New BW,Masters 80,men,65kg,39,49,91
USAW New BW,Masters 80,men,71kg,36,46,85
USAW New BW,Masters 80,men,79kg,54,69,126
USAW New BW,Masters 80,men,88kg,58,78,138
USAW New BW,Masters 80,men,94kg,46,59,108
USAW New BW,Masters 80,men,110kg,35,,
USAW New BW,Masters 80,men,110+kg,44,,
USAW New BW,Masters 80,women,58kg,15,22,39
USAW New BW,Masters 85,men,60kg,35,48,85
USAW New BW,Masters 85,men,65kg,35,41,79
USAW New BW,Masters 85,men,71kg,33,44,80
USAW New BW,Masters 85,men,79kg,47,60,110
USAW New BW,Masters 85,men,88kg,51,70,123
USAW New BW,Masters 90,men,60kg,33,43,78
USAW New BW,Masters 90,men,65kg,22,29,52
USAW New BW,Masters 90,men,79kg,30,40,73
USAW New BW,Masters 90,men,88kg,21,29,52
USAW New BW,senior,men,60kg,125,174,301
USAW New BW,senior,men,65kg,129,175,302
USAW New BW,senior,men,71kg,152,190,344
USAW New BW,senior,men,79kg,153,197,358
USAW New BW,senior,men,88kg,161,198,368
USAW New BW,senior,men,94kg,161,200,367
USAW New BW,senior,men,110kg,177,223,389
USAW New BW,senior,men,110+kg,178,224,400
USAW New BW,senior,women,48kg,87,110,198
USAW New BW,senior,women,53kg,88,113,204
USAW New BW,senior,women,58kg,98,122,219
USAW New BW,senior,women,63kg,100,128,230
USAW New BW,senior,women,69kg,117,148,268
USAW New BW,senior,women,77kg,113,141,252
USAW New BW,senior,women,86kg,101,133,241
USAW New BW,senior,women,86+kg,111,143,251
USAW New BW,junior,men,60kg,125,174,301
USAW New BW,junior,men,65kg,129,175,302
USAW New BW,junior,men,71kg,151,190,344
USAW New BW,junior,men,79kg,150,197,354
USAW New BW,junior,men,88kg,152,192,353
USAW New BW,junior,men,94kg,150,189,350
USAW New BW,junior,men,110kg,164,198,370
USAW New BW,junior,men,110+kg,165,204,365
USAW New BW,junior,women,48kg,72,100,169
USAW New BW,junior,women,53kg,86,109,195
USAW New BW,junior,women,58kg,95,115,209
USAW New BW,junior,women,63kg,99,122,223
USAW New BW,junior,women,69kg,112,144,259
USAW New BW,junior,women,77kg,113,135,244
USAW New BW,junior,women,86kg,105,125,233
USAW New BW,junior,women,86+kg,107,135,235
USAW New BW,collegiate,men,60kg,104,132,243
USAW New BW,collegiate,men,65kg,118,154,278
USAW New BW,collegiate,men,71kg,130,179,317
USAW New BW,collegiate,men,79kg,147,174,320
USAW New BW,collegiate,men,88kg,157,195,350
USAW New BW,collegiate,men,94kg,161,207,368
USAW New BW,collegiate,men,110kg,154,197,356
USAW New BW,collegiate,men,110+kg,167,211,373
USAW New BW,collegiate,women,48kg,79,105,186
USAW New BW,collegiate,women,53kg,80,105,188
USAW New BW,collegiate,women,58kg,88,107,196
USAW New BW,collegiate,women,63kg,93,110,205
USAW New BW,collegiate,women,69kg,100,129,232
USAW New BW,collegiate,women,77kg,106,133,239
USAW New BW,collegiate,women,86kg,101,124,225
USAW New BW,collegiate,women,86+kg,103,134,235
USAW New BW,u13,men,40kg,45,60,103
USAW New BW,u13,men,44kg,53,67,122
USAW New BW,u13,men,48kg,58,75,130
USAW New BW,u13,men,52kg,60,76,133
USAW New BW,u13,men,56kg,65,81,138
USAW New BW,u13,men,60kg,70,86,143
USAW New BW,u13,men,65kg,75,91,148
USAW New BW,u13,men,65+kg,80,95,175
USAW New BW,u15,men,48kg,64,81,145
USAW New BW,u15,men,52kg,76,98,174
USAW New BW,u15,men,56kg,95,117,212
USAW New BW,u15,men,60kg,100,122,222
USAW New BW,u15,men,65kg,103,127,230
USAW New BW,u15,men,71kg,105,130,235
USAW New BW,u15,men,79kg,108,133,241
USAW New BW,u15,men,79+kg,110,135,245
USAW New BW,u17,men,56kg,80,100,180
USAW New BW,u17,men,60kg,84,110,194
USAW New BW,u17,men,65kg,100,132,232
USAW New BW,u17,men,71kg,110,140,250
USAW New BW,u17,men,79kg,115,145,260
USAW New BW,u17,men,88kg,117,147,264
USAW New BW,u17,men,94kg,114,144,263
USAW New BW,u17,men,94+kg,116,146,265
USAW New BW,u13,women,36kg,38,48,83
USAW New BW,u13,women,40kg,45,57,97
USAW New BW,u13,women,44kg,50,62,107
USAW New BW,u13,women,48kg,63,77,129
USAW New BW,u13,women,53kg,52,74,129
USAW New BW,u13,women,58kg,62,79,142
USAW New BW,u13,women,63kg,62,79,151
USAW New BW,u13,women,63+kg,71,88,160
USAW New BW,u15,women,40kg,46,56,102
USAW New BW,u15,women,44kg,64,79,138
USAW New BW,u15,women,48kg,66,86,152
USAW New BW,u15,women,53kg,70,87,156
USAW New BW,u15,women,58kg,72,95,167
USAW New BW,u15,women,63kg,80,97,178
USAW New BW,u15,women,69kg,81,103,187
USAW New BW,u15,women,69+kg,83,105,187
USAW New BW,u17,women,44kg,59,69,130
USAW New BW,u17,women,48kg,70,90,161
USAW New BW,u17,women,53kg,86,106,195
USAW New BW,u17,women,58kg,83,104,184
USAW New BW,u17,women,63kg,78,106,187
USAW New BW,u17,women,69kg,91,118,212
USAW New BW,u17,women,77kg,103,120,225
USAW New BW,u17,women,77+kg,101,124,206
