federation,recordName,ageGroup,gender,ageMin,ageMax,bodyWeightMin,bodyWeightMax,lift,record,name,date,place
Carolina,Carolina,U13,M,0,13,0,40,Snatch,30,STANDARD,,
Carolina,Carolina,U13,M,0,13,0,40,Clean & Jerk,36,STANDARD,,
Carolina,Carolina,U13,M,0,13,0,40,Total,66,STANDARD,,
Carolina,Carolina,U13,F,0,13,0,36,Snatch,21,STANDARD,,
Carolina,Carolina,U13,F,0,13,0,36,Clean & Jerk,27,STANDARD,,
Carolina,Carolina,U13,F,0,13,0,36,Total,48,STANDARD,,
Carolina,Carolina,U13,M,0,13,40,44,Snatch,34,STANDARD,,
Carolina,Carolina,U13,M,0,13,40,44,Clean & Jerk,45,STANDARD,,
Carolina,Carolina,U13,M,0,13,40,44,Total,78,STANDARD,,
Carolina,Carolina,U13,F,0,13,36,40,Snatch,27,STANDARD,,
Carolina,Carolina,U13,F,0,13,36,40,Clean & Jerk,34,STANDARD,,
Carolina,Carolina,U13,F,0,13,36,40,Total,60,STANDARD,,
Carolina,Carolina,U13,M,0,13,44,48,Snatch,42,STANDARD,,
Carolina,Carolina,U13,M,0,13,44,48,Clean & Jerk,53,STANDARD,,
Carolina,Carolina,U13,M,0,13,44,48,Total,94,STANDARD,,
Carolina,Carolina,U13,F,0,13,40,44,Snatch,38,Isla Dominguez,2025-09-24,"Cary, NC"
Carolina,Carolina,U13,F,0,13,40,44,Clean & Jerk,50,Isla Dominguez,2025-09-24,"Cary, NC"
Carolina,Carolina,U13,F,0,13,40,44,Total,88,Isla Dominguez,2025-09-24,"Cary, NC"
Carolina,Carolina,U13,M,0,13,48,52,Snatch,44,STANDARD,,
Carolina,Carolina,U13,M,0,13,48,52,Clean & Jerk,60,STANDARD,,
Carolina,Carolina,U13,M,0,13,48,52,Total,104,STANDARD,,
Carolina,Carolina,U13,F,0,13,44,48,Snatch,39,Isla Dominguez,2025-10-18,"Chapin, SC"
Carolina,Carolina,U13,F,0,13,44,48,Clean & Jerk,53,Isla Dominguez,2025-10-18,"Chapin, SC"
Carolina,Carolina,U13,F,0,13,44,48,Total,92,Isla Dominguez,2025-10-18,"Chapin, SC"
