date,session_id,start_time,weigh_in_time,platform,weight_class,meet
2025-04-03,1,08:00:00,06:00:00,Red,"W65-W80, All",USAW
2025-04-03,1,08:00:00,06:00:00,Blue,"M70-M80, All",USAW
2025-04-03,2,10:00:00,08:00:00,Red,"W60, All",USAW
2025-04-03,2,10:00:00,08:00:00,Blue,"M65, All",USAW
2025-04-03,3,12:00:00,10:00:00,Red,"W55, 45kg - 64kg",USAW
2025-04-03,3,12:00:00,10:00:00,Blue,"M60, All",USAW
2025-04-03,4,14:00:00,12:00:00,Red,"W55, 71kg - 87+kg",USAW
2025-04-03,4,14:00:00,12:00:00,Blue,"M55, All",USAW
2025-04-03,5,16:00:00,14:00:00,Red,"W50, 45kg - 59kg",USAW
2025-04-03,5,16:00:00,14:00:00,Blue,"W50, 64kg - 71kg",USAW
2025-04-03,6,18:00:00,16:00:00,Red,"M50, 55kg-89kg",USAW
2025-04-03,6,18:00:00,16:00:00,Blue,"W50, 76kg - 87+kg",USAW
2025-04-04,7,08:00:00,06:00:00,Red,"W45, 45kg - 55kg",USAW
2025-04-04,7,08:00:00,06:00:00,White,"W45, 59kg",USAW
2025-04-04,7,08:00:00,06:00:00,Blue,"M50, 96kg-109+kg",USAW
2025-04-04,8,10:00:00,08:00:00,Red,"W45, 64kg",USAW
2025-04-04,8,10:00:00,08:00:00,White,"W45, 71kg",USAW
2025-04-04,8,10:00:00,08:00:00,Blue,"M45, 55kg-81kg",USAW
2025-04-04,9,12:00:00,10:00:00,Red,"W45, 76kg",USAW
2025-04-04,9,12:00:00,10:00:00,White,"W45, 81-87+kg",USAW
2025-04-04,9,12:00:00,10:00:00,Blue,"M45, 89kg",USAW
2025-04-04,10,14:00:00,12:00:00,Red,"W40, 64kg C",USAW
2025-04-04,10,14:00:00,12:00:00,White,"W40, 45kg-55kg",USAW
2025-04-04,10,14:00:00,12:00:00,Blue,"M45, 96-109+kg",USAW
2025-04-04,11,16:00:00,14:00:00,Red,"W40, 64kg B",USAW
2025-04-04,11,16:00:00,14:00:00,White,"W40, 59kg",USAW
2025-04-04,11,16:00:00,14:00:00,Blue,"M40, 55kg-81kg",USAW
2025-04-04,12,18:00:00,16:00:00,Red,"W40, 64kg A",USAW
2025-04-04,12,18:00:00,16:00:00,White,"M40, 89kg-96kg",USAW
2025-04-05,13,08:00:00,06:00:00,Red,"W40, 71kg B",USAW
2025-04-05,13,08:00:00,06:00:00,Blue,"M40, 102kg-109+kg B",USAW
2025-04-05,14,10:00:00,08:00:00,Red,"W40, 76kg B",USAW
2025-04-05,14,10:00:00,08:00:00,Blue,"M40, 102kg-109+kg A",USAW
2025-04-05,15,12:00:00,10:00:00,Red,"M35, 55kg-73kg",USAW
2025-04-05,15,12:00:00,10:00:00,Blue,"W40, 71kg A",USAW
2025-04-05,16,14:00:00,12:00:00,Red,"W40, 76kg A",USAW
2025-04-05,16,14:00:00,12:00:00,Blue,"W40, 81kg-87kg",USAW
2025-04-05,17,16:00:00,14:00:00,Red,"W40, 87+kg",USAW
2025-04-05,17,16:00:00,14:00:00,Blue,"M35, 81kg",USAW
2025-04-05,18,18:00:00,16:00:00,Red,"W35, 45kg-55kg",USAW
2025-04-05,18,18:00:00,16:00:00,Blue,"M35, 89kg",USAW
2025-04-06,19,08:00:00,06:00:00,Red,"W35, 59kg-64kg C",USAW
2025-04-06,19,08:00:00,06:00:00,White,"M35, 96kg-109+kg C",USAW
2025-04-06,19,08:00:00,06:00:00,Blue,"W35, 71kg B",USAW
2025-04-06,20,10:00:00,08:00:00,Red,"W35, 59kg-64kg B",USAW
2025-04-06,20,10:00:00,08:00:00,White,"M35, 96kg-109+kg B",USAW
2025-04-06,20,10:00:00,08:00:00,Blue,"W35, 76kg-81kg B",USAW
2025-04-06,21,12:00:00,10:00:00,Red,"W35, 59kg-64kg A",USAW
2025-04-06,21,12:00:00,10:00:00,White,"W35, 71kg A",USAW
2025-04-06,21,12:00:00,10:00:00,Blue,"W35, 76kg-81kg A",USAW
2025-04-06,22,14:00:00,12:00:00,Red,"W35, 87kg",USAW
2025-04-06,22,14:00:00,12:00:00,White,"W35, 87+kg",USAW
2025-04-06,22,14:00:00,12:00:00,Blue,"M35, 96kg-109+kg A",USAW
