date,session_id,start_time,weigh_in_time,platform,weight_class,meet
2025-03-26,1,09:30:00,07:30:00,Red,W70 & W75 45-87+,USAMW
2025-03-26,1,09:30:00,07:30:00,White,"M80-90 55-109+, M75 55-61",USAMW
2025-03-26,1,09:30:00,07:30:00,Blue,W65 45-71,USAMW
2025-03-26,2,11:15:00,09:15:00,Red,M75 67-81,USAMW
2025-03-26,2,11:15:00,09:15:00,White,"W60 45-55, W65 76-87+",USAMW
2025-03-26,2,11:15:00,09:15:00,Blue,"M70 55-67, M75 89-109+",USAMW
2025-03-26,3,13:30:00,11:30:00,Red,W60 59-71,USAMW
2025-03-26,3,13:30:00,11:30:00,White,M70 73-109+,USAMW
2025-03-26,3,13:30:00,11:30:00,Blue,W60 76-87+,USAMW
2025-03-26,4,14:45:00,12:45:00,Red,M65 55-81,USAMW
2025-03-26,4,14:45:00,12:45:00,White,M65 89-109+,USAMW
2025-03-26,5,16:45:00,14:45:00,Red,W60 Deadlift,USAMW
2025-03-26,5,16:45:00,14:45:00,White,All Wednesday Men Deadlift,USAMW
2025-03-26,5,16:45:00,14:45:00,Blue,W65-75 Deadlift,USAMW
2025-03-27,6,09:30:00,07:30:00,Red,W55 45-71,USAMW
2025-03-27,6,09:30:00,07:30:00,White,W55 76-87,USAMW
2025-03-27,6,09:30:00,07:30:00,Blue,M60 55-96,USAMW
2025-03-27,7,11:30:00,09:30:00,Red,"M55 55-89, M60 102-109+",USAMW
2025-03-27,7,11:30:00,09:30:00,White,"W50 45-59, W55 87+",USAMW
2025-03-27,7,11:30:00,09:30:00,Blue,"M50 55-73, M55 96-109+",USAMW
2025-03-27,8,13:45:00,11:45:00,Red,W50 76-81,USAMW
2025-03-27,8,13:45:00,11:45:00,White,W50 64-71,USAMW
2025-03-27,8,13:45:00,11:45:00,Blue,M50 81-89,USAMW
2025-03-27,9,15:15:00,13:15:00,Red,M50 96-109+,USAMW
2025-03-27,9,15:15:00,13:15:00,White,W50 87-87+,USAMW
2025-03-27,10,17:15:00,15:15:00,Red,All Thursday Men Deadlift,USAMW
2025-03-27,10,17:15:00,15:15:00,White,All Thursday Women Deadlift,USAMW
2025-03-28,11,09:30:00,07:30:00,Red,W45 45-59,USAMW
2025-03-28,11,09:30:00,07:30:00,White,W45 64 & 71 B,USAMW
2025-03-28,11,09:30:00,07:30:00,Blue,M45 55-81,USAMW
2025-03-28,12,11:30:00,09:30:00,Red,W45 71 A & 76,USAMW
2025-03-28,12,11:30:00,09:30:00,White,M45 89-96,USAMW
2025-03-28,12,11:30:00,09:30:00,Blue,W45 81-87+,USAMW
2025-03-28,13,13:30:00,11:30:00,Blue,M45 102-109+,USAMW
2025-03-28,14,15:45:00,13:45:00,Red,All Friday Men & Women Deadlift,USAMW
2025-03-29,15,09:15:00,07:15:00,Red,W40 45-55,USAMW
2025-03-29,15,09:15:00,07:15:00,White,M40 55-73 & 81 B,USAMW
2025-03-29,15,09:15:00,07:15:00,Blue,W40 59,USAMW
2025-03-29,16,11:00:00,09:00:00,Red,M40 81 A & 89,USAMW
2025-03-29,16,11:00:00,09:00:00,White,W40 64,USAMW
2025-03-29,16,11:00:00,09:00:00,Blue,W40 71,USAMW
2025-03-29,17,13:00:00,11:00:00,Red,W40 76,USAMW
2025-03-29,17,13:00:00,11:00:00,White,M40 96-109+,USAMW
2025-03-29,17,13:00:00,11:00:00,Blue,"W35 45-55, W40 81-87",USAMW
2025-03-29,18,15:00:00,13:00:00,Red,M35 55-73,USAMW
2025-03-29,18,15:00:00,13:00:00,White,M35 81,USAMW
2025-03-29,18,15:00:00,13:00:00,Blue,W35 59-64,USAMW
2025-03-29,19,17:30:00,15:30:00,Red,All Saturday Men & Women Deadlift,USAMW
2025-03-30,20,09:15:00,07:15:00,Red,W35 71-76,USAMW
2025-03-30,20,09:15:00,07:15:00,White,W35 81-87+,USAMW
2025-03-30,20,09:15:00,07:15:00,Blue,M35 89 & 96 B,USAMW
2025-03-30,21,11:15:00,09:15:00,Red,M35 96 A & 102-109+,USAMW
2025-03-30,21,11:15:00,09:15:00,White,M30 55-109+,USAMW
2025-03-30,21,11:15:00,09:15:00,Blue,W30 45-87+,USAMW
2025-03-30,22,13:45:00,11:45:00,White,All Sunday Men & Women Deadlift,USAMW
